1	2	30
2	3	40
3	4	40
4	5	5
5	6	3
6	7	10
7	8	8
8	9	10
9	10	8
11	2	20
11	12	10
11	13	15
12	14	8
13	14	10
14	3	10
14	19	5
19	4	3
16	17	25
15	18	15
17	18	20
18	19	5
18	21	15
21	20	10
4	20	30
20	6	15
20	22	15
25	23	15
23	22	10
24	22	30
6	30	5
22	30	40
30	8	10
30	31	10
30	32	15
8	38	5
38	9	2
38	40	2
24	26	50
26	27	15
26	28	10
26	29	10
27	32	7
27	33	7
28	33	2
28	34	5
29	34	7
32	39	10
32	37	8
34	37	6
34	44	4
39	42	7
41	42	5
41	43	5
37	43	12
43	44	13
24	35	30
35	36	25
36	45	10
36	49	10
46	48	20
47	48	25
48	49	15
48	50	15
50	49	10
